user_id,movies,rating
1,1,4.0
1,2273,4.0
1,2291,5.0
1,2329,5.0
1,2353,5.0
1,2366,4.0
1,2395,5.0
1,2406,4.0
1,2427,5.0
1,2268,4.0
1,2470,5.0
1,2502,5.0
1,2528,3.0
1,2529,5.0
1,2542,5.0
1,2571,5.0
1,2580,5.0
1,2616,4.0
1,2617,2.0
1,2478,4.0
1,2193,4.0
1,2174,4.0
1,2161,5.0
1,1732,5.0
1,1777,4.0
1,1805,4.0
1,1954,5.0
1,1967,4.0
1,2000,4.0
1,2005,5.0
1,2012,4.0
1,2018,5.0
1,2028,4.0
1,2046,4.0
1,2054,4.0
1,2058,5.0
1,2078,5.0
1,2094,5.0
1,2096,4.0
1,2105,4.0
1,2115,5.0
1,2137,5.0
1,2628,4.0
1,2640,4.0
1,2641,5.0
1,2657,3.0
1,3168,4.0
1,3176,1.0
1,3247,3.0
1,3253,5.0
1,3273,5.0
1,3386,5.0
1,3448,5.0
1,3450,5.0
1,3489,4.0
1,3527,4.0
1,3578,5.0
1,3617,4.0
1,3671,5.0
1,3702,5.0
1,3703,5.0
1,3740,4.0
1,3793,5.0
1,3809,4.0
1,5060,5.0
1,3147,5.0
1,1676,3.0
1,3052,5.0
1,3033,5.0
1,2692,5.0
1,2700,5.0
1,2716,5.0
1,2761,5.0
1,2797,4.0
1,2826,4.0
1,2858,5.0
1,2872,5.0
1,2916,4.0
1,2944,5.0
1,2947,5.0
1,2948,5.0
1,2949,5.0
1,2959,5.0
1,2985,4.0
1,2987,5.0
1,2991,5.0
1,2993,5.0
1,2997,4.0
1,3034,5.0
1,1644,3.0
1,2139,5.0
1,1617,5.0
1,1625,5.0
1,500,3.0
1,527,5.0
1,543,4.0
1,552,4.0
1,553,5.0
1,590,4.0
1,592,4.0
1,593,4.0
1,596,5.0
1,608,5.0
1,648,3.0
1,661,5.0
1,673,3.0
1,733,4.0
1,736,3.0
1,780,3.0
1,919,5.0
1,923,5.0
1,457,5.0
1,1025,5.0
1,441,4.0
1,362,5.0
1,3,4.0
1,6,4.0
1,47,5.0
1,50,5.0
1,70,3.0
1,101,5.0
1,110,4.0
1,151,5.0
1,163,5.0
1,216,5.0
1,223,3.0
1,231,5.0
1,235,4.0
1,260,5.0
1,296,3.0
1,316,3.0
